"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"387",2021-03-22,2.0609463845525,2.98496231131986,1.13468057179102,3.71483512420134,1.45859521458148,13.4434928497024,13.6707717412003,9.31074647920348,21.6075796886185,6.06526998574672,29.739639525759,44.8624517247993,16.9236565461378,55.0842508468439,13.2223389350591,59.6386907762067,69.2559155302816,36.7326428172524,105.384393854781,22.572633617993
"388",2021-03-23,2.33398800339676,3.53942085658092,1.0770329614269,3.76696164036747,1.4,13.311649033835,13.4962031697808,9.83806383390553,21.2263986582746,5.61493544041247,31.153146205777,46.878077859629,17.5511500176204,57.422256144163,13.4049005227451,58.2940867178194,67.3613666053288,35.8870221240714,103.587531628977,22.2642982060826
"389",2021-03-24,2.22429764195352,3.73463518968051,1.0770329614269,3.42746261832277,1.26885775404495,13.2536787346004,13.8296782319763,9.39680796866681,19.8924608834603,5.76541412215983,32.7177521103606,47.5386529613243,18.3579800658669,59.4412396736214,13.7795697759356,57.3752191410575,65.8474595120748,35.3106531250994,100.947570411803,21.8278006418277
"390",2021-03-25,1.97167441531304,3.46265793863616,1.01365674663566,3.51958804407561,1.46969384566991,13.1919483018999,14.3129312162114,9.42655822662758,19.1062162659172,6.17474695837813,34.044915059765,49.2831639296178,19.5827532529444,62.0499157444694,14.2080972489226,56.0166556248895,64.3655312694658,34.039672818074,98.532966402822,21.3634148149052
"391",2021-03-26,1.98997487421324,3.43911325780353,1.15758369027902,3.74299345444258,1.63095064303001,14.293005282305,13.685302334987,8.42555636145175,18.3480244168139,6.45348742928969,34.2017535388219,49.6391781859242,20.2676196440447,62.8984091733901,14.0858138171578,54.6800709239664,62.7467987338221,32.9647574226414,96.6233234531489,21.0077180757454
"392",2021-03-27,2.02237484161567,3.23844098294226,1.10792599030802,4.01123422402632,1.72046505340853,12.8540849538192,13.2033139779375,8.4170956986362,18.3860680951638,6.26797415438194,34.8922896824885,51.0805464166371,20.7905486599139,64.3044669667612,14.269885410529,52.9731675367996,61.2543444279972,32.5117858644027,94.0267984053449,20.6009744061871
"393",2021-03-28,1.98683164863055,3.15277655408689,1.06770782520313,4.46402284940389,1.68151717208002,13.1813314957177,10.6201459500329,8.37197706638044,16.9034759738937,6.26797415438194,35.4137798387737,51.7949721092933,21.3545820746506,65.470367332315,14.7623143824377,51.8036589401737,59.830316168211,32.0243282822405,91.6019699484542,19.9956717576101
"394",2021-03-29,2.28035085019828,3.49964283891942,1.06770782520313,5.06236110920586,1.71099386322687,11.8417692934798,10.7953693776545,8.03912308650639,17.5307586829549,6.15203218457121,36.6732130332728,51.8031947630098,21.4404541160474,64.8881410619854,15.2466349252289,50.5639195567106,58.0773587467528,31.0865135168265,89.1195526384395,19.3036741564268
"395",2021-03-30,2.47537875889731,3.51994318135961,1.11691539518443,5.47174560812178,1.75783958312469,11.4743191519149,11.0836591430809,7.09224929059886,17.5499287747842,6.03821165578021,36.9823114207954,51.5118615397143,21.5963166218773,65.7657646687783,15.8225000842573,48.7208031496393,56.6500723532798,30.3372097961855,86.3431271431513,18.6141493763974
"396",2021-03-31,2.59615099714943,3.80131556174964,1.20415945787923,5.30353655592191,1.62095650774473,11.3352326839814,11.3880419739304,7.20485947121802,17.4237625098599,6.49826900028,36.4209311380929,51.2522373963755,22.1383292988125,65.3520512575277,16.184846169854,47.6053083264816,54.5542157887651,29.1926594325713,83.8291472444661,17.8874822396564
