"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"348",2021-02-11,5.83783783783784,9.48648648648649,3.56756756756757,11.4594594594595,2.39189189189189,15.0439882697947,20.3812316715543,8.50733137829912,27.6011730205279,5.97067448680352,25.146875,32.58125,15.096875,47.09375,9.978125,37.9,47.6785714285714,22.8357142857143,69.0928571428571,14.6142857142857
"349",2021-02-12,5.93918918918919,8.95945945945946,3.28378378378378,10.9594594594595,2.43243243243243,14.9120234604106,20.624633431085,8.66275659824047,27.5718475073314,5.98826979472141,25,32.3875,15.084375,46.353125,9.65625,37.8357142857143,46.05,23.8071428571429,70.3428571428571,14.2714285714286
"350",2021-02-13,6.09459459459459,9.23648648648649,3.33783783783784,11.3243243243243,2.38513513513514,15.2111436950147,20.1319648093842,8.46627565982405,28.058651026393,5.94134897360704,25.05625,32.43125,15.35625,45.803125,9.90625,38.1214285714286,47.1,23.3285714285714,69.4428571428571,14.1214285714286
"351",2021-02-14,6.05405405405405,9.16891891891892,3.62162162162162,11.222972972973,2.38513513513514,14.7653958944282,20.2287390029326,9.08797653958944,28.3958944281525,6.0791788856305,25.08125,31.934375,14.728125,46.384375,9.6375,37.5428571428571,45.5214285714286,23.1857142857143,67.6714285714286,14.4714285714286
"352",2021-02-15,5.83108108108108,8.89189189189189,3.41891891891892,11.277027027027,2.32432432432432,15.2815249266862,19.9912023460411,8.8475073313783,28.1906158357771,5.94134897360704,24.80625,31.95,14.71875,45.4625,9.71875,37.4357142857143,44.6714285714286,22.9357142857143,67.3214285714286,13.4714285714286
"353",2021-02-16,6.26351351351351,9.12837837837838,3.2972972972973,11.527027027027,2.27702702702703,15.1524926686217,20.1671554252199,8.91202346041056,28.425219941349,6.02346041055718,24.6625,31.459375,15.075,45.26875,9.38125,37.2071428571429,44.3,22.8928571428571,66.7357142857143,13.4428571428571
"354",2021-02-17,6.2972972972973,8.76351351351351,3.22972972972973,11.3513513513514,2.5472972972973,15.217008797654,20.7008797653959,9.23460410557185,27.9208211143695,6.12609970674487,24.759375,31.25625,15.03125,45.125,9.328125,35.8428571428571,43.4785714285714,23.0428571428571,65.25,14.1571428571429
"355",2021-02-18,6.18243243243243,9.14864864864865,3.33108108108108,11.9594594594595,2.56756756756757,15.2727272727273,20.0850439882698,8.87976539589443,28.4633431085044,6.04105571847507,24.271875,31.13125,14.715625,44.96875,9.559375,34.9357142857143,43.4785714285714,22.4642857142857,64.9785714285714,13.4214285714286
"356",2021-02-19,6.40540540540541,8.85810810810811,3.7027027027027,11.3851351351351,2.49324324324324,15.2785923753666,20.5395894428152,9.12316715542522,27.9530791788856,6.04105571847507,24.60625,30.74375,14.6875,45.375,9.225,35.5714285714286,41.5785714285714,22.0642857142857,64.1642857142857,12.8571428571429
"357",2021-02-20,6.11486486486486,9.14864864864865,3.56756756756757,12.1418918918919,2.65540540540541,15.5219941348974,20.3401759530792,9.14369501466276,28.2492668621701,5.94134897360704,24.265625,30.378125,14.725,44.334375,9.13125,34.1714285714286,41.4571428571429,21.2714285714286,62.0714285714286,12.4357142857143
