"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH"
"322",2021-01-16,12.1785714285714,14.0357142857143,7.57142857142857,20.6785714285714,4.60714285714286,18.8288288288288,22.7657657657658,11.2162162162162,34.2972972972973,7.15315315315315,32.6666666666667,30,16.3333333333333,57,11.3333333333333
"323",2021-01-17,10.8214285714286,13.6071428571429,6.67857142857143,20.8571428571429,4.25,18.1441441441441,23.972972972973,11.5765765765766,34.018018018018,7.05405405405405,26.6666666666667,35.6666666666667,17.6666666666667,62.3333333333333,11.3333333333333
"324",2021-01-18,10,13.4642857142857,6.71428571428571,21.6428571428571,4.57142857142857,18.8288288288288,23.9279279279279,11.5945945945946,34.7477477477477,7.9009009009009,34,36.6666666666667,14.3333333333333,53,9.33333333333333
"325",2021-01-19,11.6428571428571,14.5,6.78571428571429,20.8214285714286,4.21428571428571,19.4684684684685,23.2162162162162,11.4144144144144,34.6756756756757,6.91891891891892,36,35.3333333333333,15.6666666666667,65,14.6666666666667
"326",2021-01-20,10.8928571428571,12.9642857142857,7.35714285714286,20.2142857142857,4.28571428571429,19.1081081081081,23.2522522522523,11.7477477477477,34.0720720720721,7.72072072072072,35.6666666666667,31.3333333333333,18.6666666666667,64.6666666666667,10.3333333333333
"327",2021-01-21,13.1428571428571,13.9285714285714,8.46428571428571,19.2857142857143,4.28571428571429,18.9099099099099,22.5675675675676,11.7027027027027,34.6576576576577,7.00900900900901,29.3333333333333,41.6666666666667,20.3333333333333,57.6666666666667,10.6666666666667
"328",2021-01-22,11.6071428571429,12.2142857142857,6.64285714285714,19.6785714285714,4.03571428571429,18.7747747747748,22.5045045045045,11.7837837837838,35.009009009009,7.42342342342342,31,42.3333333333333,22,57.3333333333333,12.6666666666667
"329",2021-01-23,10.0357142857143,12.8928571428571,7,21.2857142857143,4.85714285714286,18.3963963963964,21.1351351351351,11.1801801801802,34.009009009009,7.40540540540541,28.6666666666667,36.3333333333333,15.6666666666667,57,11.3333333333333
"330",2021-01-24,11.5714285714286,12.75,6.75,20.3571428571429,4.60714285714286,18.7207207207207,22.2702702702703,11.7747747747748,34.2882882882883,7.04504504504505,35.3333333333333,34.3333333333333,18.6666666666667,64.6666666666667,9
"331",2021-01-25,11.3928571428571,12.0357142857143,6.75,18.5,4.96428571428571,18.2252252252252,21.6396396396396,11,34.009009009009,6.54054054054054,29.3333333333333,34.6666666666667,17,56,13
