"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"365",2021-02-28,13.5628167843789,12.8866419294991,5.70701338585306,18.7457472497677,5.48768107468097,48.2615271504005,61.7648975091465,25.7896649916248,81.5392219903853,19.4646530810286,100.80620679375,134.068088539973,59.4410573620396,180.314030681666,41.3970491011516,196.866023724934,239.608277194772,115.276804997128,349.192241642603,75.4357752839131
"366",2021-03-01,13.6213866231841,12.927177079812,5.74485206376404,18.7648610071542,5.49013125268622,48.7056509824072,62.2954701498786,26.1509352898407,82.2318135840816,19.4108209469854,102.379177459395,134.427404146933,59.6691322378988,180.970621073958,41.10189095568,196.619639186736,237.374516797055,115.003168400297,347.411913804338,74.9278758287045
"367",2021-03-02,13.7369012421447,12.9957021243179,5.7330910861788,18.5376576781799,5.56051612344842,48.9456584764804,63.2185498081452,26.2517792945535,83.0061229543497,19.7350589225589,103.913554925074,134.910954102287,59.6167852669032,183.63175174849,41.6289056240987,195.759864904225,235.279564028974,114.764756834532,345.923129764558,74.1117994666908
"368",2021-03-03,13.6993913842318,13.1227659196718,5.63033065241013,18.3620733085069,5.61249485384932,49.1653993600101,64.1217326241481,26.8176106707906,84.1118669690098,19.7349497979419,104.859899469292,136.559212492569,60.0922265881837,184.752991189519,42.3831242518926,194.739969274322,233.360324393271,114.439715390832,345.009369405024,74.4697740112994
"369",2021-03-04,13.8917184517282,13.2736749383189,5.65416157169642,18.3451143801876,5.75422111653745,49.765445169892,64.5305340130302,26.8042406311637,84.4330160914268,19.7717115429881,105.109107828937,136.690868700786,60.6167905503333,187.146685127267,42.9723157486573,194.48129501385,231.496146280899,114.25196149392,341.989327909579,73.9504352097231
"370",2021-03-05,13.9224664818508,13.4509257686428,5.61649771527696,18.2969929884882,5.76214537477509,50.3844367015099,64.6620137725665,27.0549203742306,85.3238193380856,20.0381766381766,106.337175818686,138.218803220523,61.3484192739422,187.751096314331,43.8427941342783,193.649530678055,229.615042091115,113.165798026698,338.807362683518,72.8457485196151
"371",2021-03-06,13.8459271741906,13.5102107735113,5.70763937759012,18.2219501078134,5.78295435323684,50.681950255695,64.8375718105525,27.545068378185,85.685300984608,20.1105744891967,106.9843923407,139.969343303235,61.5695301291248,188.087629191795,44.1308484315185,191.920865823674,226.62610665203,112.116363954914,335.224233836103,71.9576987917954
"372",2021-03-07,13.8992568125516,13.7457072581825,5.72264127555447,18.1479517451997,5.75592784119343,51.2296871333895,65.5952377196165,27.9647689802843,86.1545406672026,20.2215698768129,108.339396948767,141.181768161805,62.044876728055,189.394466915507,44.1965725052713,189.264341983729,224.384102497623,110.704171587152,332.0263667847,71.0679608316757
"373",2021-03-08,13.9985697291268,13.9501163155816,5.78694638059354,17.9402815842271,5.82473229869333,51.6980410637181,66.2135243284551,28.3555813464188,87.0488500954393,20.3876200833786,108.921182375642,140.878000703,62.459867880916,190.179015934255,44.4464755245791,187.491786791369,220.705321170658,109.729410583616,329.785411710348,69.7381113410995
"374",2021-03-09,14.026985522696,14.0655549803791,5.71803893971382,17.9119169291687,5.79251803634211,51.8425925925926,66.8044091215311,28.3799784660589,87.1447187171721,20.3161670645353,110.045294895365,141.459432050854,62.9107761989699,190.138825609316,44.7208248390361,184.732268364778,216.902590180212,108.192473684211,326.815103482914,68.8922453816831
"375",2021-03-10,14.1708455225254,14.0219412035641,5.76187201050427,18.0894233624956,5.88498248237485,51.8727144144452,66.9825959320612,28.360228480873,87.9187171600666,20.5036687631027,110.249916410968,141.967820489684,62.9463624185183,190.993575369852,44.571328884498,182.289379289984,214.275287295651,107.07931305276,323.037186055857,67.612012012012
"376",2021-03-11,14.2053582032996,14.0678742991201,5.76976592523057,18.3085298531994,5.8892958330454,52.2616017581519,67.6020406184304,28.5095229512136,88.2810651783983,20.5819652629074,110.931228062958,142.485175666748,63.2272931928707,191.847146205473,44.6124195269102,180.272618559773,210.456062929342,105.491274448929,318.05065434596,66.2153314355429
"377",2021-03-12,14.1842078274521,14.1795079472865,5.81779755283648,18.4087369041837,5.84353725721441,52.52937568924,67.7104005631874,28.7535853082629,88.6707656272873,20.8387263066064,111.74956788938,142.549542148803,63.9009948652118,192.932459261675,44.9343704343814,177.580236486486,206.985423739371,103.928206789733,313.129553984283,65.1467121652481
"378",2021-03-13,14.3261519880566,14.1802651093808,5.92975049024143,18.544115370886,5.95893691724603,53.1522976956056,67.9062859283896,28.9077465020576,88.4733956768727,20.8451578749468,112.288897553966,143.02728678533,64.1449422466786,194.122702555176,45.3930838121482,174.352633676488,203.191783957474,102.429029374202,307.876060397103,64.4979691435768
"379",2021-03-14,14.2915003833416,14.192376760891,5.99547354854934,18.5819198847236,5.90573383324453,53.0884677022381,68.4438175988034,28.9713779427068,89.0683427953501,20.8850412664846,112.486754140562,142.687105793269,63.7777721261445,194.941428027532,45.8228303516529,170.991156469251,198.414323702046,100.678767646867,301.645846990146,63.5950878508678
"380",2021-03-15,14.1981459019234,14.2545435432319,6.09300438822575,18.7973663613287,5.94125494629734,53.2474343467664,68.6570882106597,29.0727943522914,89.4379128507356,21.4656923624951,112.428989346538,142.3000928918,63.9112368014819,195.563712583149,45.8209048264969,168.166305214479,193.631650021567,99.3529271523179,296.886752516121,62.2731874520127
"381",2021-03-16,14.2050134379182,14.3365244601419,6.20385297597773,19.0128985594261,5.9793557379093,53.0655744924473,68.5915502948597,29.3407729468599,89.6788169816102,21.533752187509,112.952159902965,142.414818444756,63.8376073861953,195.465192786456,45.6735297223102,164.869074767877,188.871222345133,96.7416903073286,290.981574434918,60.7819357190936
"382",2021-03-17,14.2616143515906,14.428274327374,6.12356340140865,19.2726350415377,5.96597510642927,52.9557321852404,68.5643294966448,29.0520485544944,90.2349081560009,21.6486291486291,112.964953639829,142.254764177863,63.9721412941853,194.763389161307,45.5169130218365,162.010946779351,184.689337966985,95.4907565337001,285.368196650729,59.6648899783377
"383",2021-03-18,14.2560620907408,14.405687742914,6.23476250754385,19.4435774543071,5.96893515752774,53.4749676842001,68.372920894054,28.5378619911702,90.0886036231324,21.5540578727252,112.889437323561,141.919181280803,63.9338651986399,194.238880035145,45.1569391125391,159.273672359589,179.677720391808,93.5157584269663,278.674802469994,58.1019056472229
"384",2021-03-19,14.3913265938973,14.3434911615214,6.34579552329099,19.6457820197044,5.98367217814048,53.7733441791614,68.3288789134438,28.3731647206306,90.4994417494417,21.5531612903226,112.463452051498,141.122280962077,64.1055020423393,192.901313978107,44.5095305188311,155.618844142032,174.903458900341,91.7524352983465,271.800834621329,56.9750641637818
"385",2021-03-20,14.4183220699169,14.2480659031838,6.37500268423516,20.0588695636017,5.97562469690395,53.4389235442889,68.4102642113078,28.4962910213044,90.5333825847123,21.4854357830946,111.844730004544,140.704473826932,64.0709145290053,192.734379583456,44.9724827078627,150.860911270983,170.129380193255,90.2273775137111,264.170412636772,55.3295165238678
"386",2021-03-21,14.4082488902209,14.1554935114773,6.44255563661719,20.3117257503695,5.97887366222506,53.7389358528095,68.193315874367,28.4113766013304,91.021814785397,21.510111426198,111.063669264049,139.17264509299,63.5205543011686,191.122901488755,44.5424199020256,147.123761846182,165.263628830218,87.9524066226656,257.175078520328,53.7221995479091
"387",2021-03-22,14.3321451281215,14.3797234479127,6.45702790746551,20.3449788574019,5.95483186289262,54.1231737840848,67.9694277668291,28.449871261636,91.5951029634334,21.662735042735,111.140291456116,138.388153201185,63.2755008644361,190.374733905983,44.4975887549308,142.596457612861,160.267737560607,85.6535953401178,250.395370156679,53.1645086686505
"388",2021-03-23,14.4079493114084,14.3310503336151,6.39008902166244,20.2461025949986,5.96406838597508,54.298771680284,67.754165805963,28.5690319031903,91.4571096782528,21.9576801312126,110.070149637203,137.219142645972,63.1291919566153,188.954107830552,44.1302380792403,138.969704308849,155.786533185931,83.078261814446,242.848607113623,51.9456315684449
"389",2021-03-24,14.2461739097081,14.2623310344828,6.37344470993186,20.1272293942185,6.1217577915427,54.1885602275574,67.9285236270754,28.1961225617942,91.4884218942117,22.0241795712294,109.212821184061,135.668575038804,63.1169714618231,188.136986267924,44.2569055582698,135.615775639754,150.265062684366,81.2406315704351,235.694313630667,50.2498288140236
"390",2021-03-25,14.2932327367074,14.1079002487887,6.31119533266686,20.1836729217381,6.08259099170847,53.974596675765,67.701349047257,28.2343897433867,91.7372516663431,21.8710173055151,108.969209384232,134.244542685745,63.0226489835928,187.192768412627,43.8760875655947,131.811283361508,145.511804799443,79.7892276422764,227.392985687372,49.0361012873108
"391",2021-03-26,14.145552581329,14.2195600134528,6.28616094803543,20.1111425181654,5.93667242009248,53.8680784470416,67.368704009458,28.4306503068293,91.8171614272136,21.7472020158798,107.810794098862,132.381404148621,62.364211762548,185.394944201132,43.1073155309485,128.275194039735,140.15098887237,77.2026151877133,219.330149392819,47.4606495026331
"392",2021-03-27,14.1985676476874,14.0342526163715,6.26615549368173,20.1048117963437,5.9944263129577,53.4940672874737,66.8013920131397,28.5331832632348,91.9936621797142,21.4421678910315,107.245552358352,130.930505023282,61.6326272705468,183.872184871416,42.3845311722749,124.862016994144,134.69361265663,75.4646644500831,212.073457153199,45.506573178107
"393",2021-03-28,14.2553475643131,14.0674349843211,6.37216045038705,20.0765560720024,6.01498116487975,53.0148120244805,66.3073089251922,28.6453522794553,92.1308938198204,21.3862645175451,106.699798621082,129.235062204721,61.1823454884827,182.4833285569,41.9578465643446,120.24477049458,129.99803779421,72.8383035062089,205.547905636873,43.9088309239472
"394",2021-03-29,14.2555930132411,14.0327818063294,6.4215138099542,20.025413090645,5.93186391073715,52.7147568860485,66.4244346494399,28.5534619277252,91.4964434600582,21.338035468074,106.140155800798,126.506887412807,60.4612817667383,180.077343175582,41.8694772949365,116.369030493143,124.192896240185,70.8735039893617,197.581675458124,41.8794244897959
